URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS,TITLE_TAG_VALUE,META_DESCRIPTION
url11,https://holycowvegan.net/25-vegan-school-lunches-kids-will-love/,2.6,734,545,2.219,0.249,2017-09-14T10:00:20,2017-09-14T10:00:20,2019-09-03T13:17:45,25 - love - food - lunches - vegan - school - little - healthy - kids - lunch - vegetarian,25 Vegan School Lunches Your Kids Will Love | Holy Cow! Vegan Recipes,"Recipes for 25 vegan school lunches that the pickiest eaters will love. Each of these is healthy, easy to make, tasty, mess-free, and kid-approved."
url12,https://holycowvegan.net/66-kid-friendly-vegan-recipes-from-a-vegan-mom/,17.7,4244,3756,1.855,0.249,2018-01-25T08:00:54,2018-01-25T08:00:54,2019-09-03T13:21:09,guide - stressfree - vegan - meals - sauce - kid - little - healthy - friendly - recipes - kids - great - veggies - delicious - fun - moms - eat,"66 Kid Friendly Vegan Recipes. A vegan mom's guide to stress-free, fun and healthy meals for the family. | Holy Cow! Vegan Recipes","66 healthy but fun kid friendly vegan recipes sorted out by breakfast, meals, snacks, desserts. Cheesy, savory, sweet recipes, glutenfree, nutfree options."
url13,https://holycowvegan.net/a-boy-named-jay/,3.9,880,826,5.03,2.17,2014-11-23T08:00:39,2014-11-23T08:00:39,2017-10-02T13:17:06,boy - loves - love - tiny - opie - week - children - things - speak - orphanage - jay - named,A Boy Named Jay | Holy Cow! Vegan Recipes,No meta description found.
url14,https://holycowvegan.net/a-robot-made-my-roti-the-rotimatic-review/,5.5,1172,1160,2.649,0.17,2017-04-10T09:00:13,2017-04-10T09:00:13,2019-10-02T22:34:45,used - roll - flour - robot - rotimatic - little - process - rotimaking - rotis - roti - review,A robot made my roti! The Rotimatic review | Holy Cow! Vegan Recipes,"Rotimatic is the world's first roti-making robot, and this good-looking gadget spews out rotis at the rate of about one per minute."
url15,https://holycowvegan.net/a-tres-elegant-vegan-french-apple-tart-thats-easy-as-pie/,4.0,877,852,1.101,0.063,2018-10-27T09:00:26,2018-10-27T09:00:26,2019-11-10T18:36:42,pan - french - thats - vegan - easy - très - puff - apples - apple - tart - pie - élégant - apricot - recipes - pastry,"A très élégant vegan French Apple Tart that's easy as pie | Holy Cow! Vegan Recipes Easy, tasty vegan recipes","An elegant and easy vegan French Apple Tart with a golden, crackly puff pastry base. Comes together in under 20 minutes. A soy-free and nut-free recipe."
url16,https://holycowvegan.net/aam-ka-panna-panagam-green-mango-cooler-for-long-hot-indian-summers/,4.7,1016,989,0.636,0.636,2019-04-15T09:00:20,2019-04-15T09:00:20,2019-04-15T12:43:59,hot - mangoes - sugar - long - green - mango - ka - panna - recipe - cooler - glass - aam - water - summers,"Aam ka Panna, a green mango cooler for long, hot summers | Holy Cow! Vegan Recipes","A tall, cooling glass of Aam ka Panna, a green mango cooler, is exactly what you need for the dog days. This refreshing Indian drink is naturally vegan."
url17,https://holycowvegan.net/about-kala-jamoon-whos-not-a-recipe/,5.7,1222,1214,1.268,0.455,2018-08-27T11:11:04,2018-08-27T11:11:04,2019-06-20T22:21:43,cats - cat - recipe - kj - little - kala - jamoon - billy - black - weeks - whos - outdoor,"About Kala Jamoon, who's not a recipe | Holy Cow! Vegan Recipes",No meta description found.
url18,https://holycowvegan.net/adhirasams-for-chalks-and-chopsticks/,4.8,1026,1028,9.482,0.841,2010-06-12T00:40:00,2010-06-12T00:40:00,2019-01-30T19:48:16,hand - krishna - good - adhirasam - chalks - didnt - pinch - amma - oil - chopsticks - say - jaggery - adhirasams,Adhirasam for Chalks and Chopsticks | Holy Cow! Vegan Recipes,"A recipe for Adhirasam, a delicious, gluten-free sweet made in Tamil kitchens. Try it and it will quite possibly become your favorite."
url19,https://holycowvegan.net/african-peanut-stew-with-eggplant-and-okra/,4.0,828,840,4.252,0.827,2015-09-03T08:00:06,2015-09-03T08:00:06,2019-02-04T11:02:59,okra - african - add - vegetable - large - vegan - recipe - stew - tomato - pot - peanut,Vegan African Peanut Stew | Holy Cow! Vegan Recipes,"Vegan African Peanut Stew. A delicious pot of peanut soup or stew with bits of okra, eggplant and sweet potatoes floating in it. Vegan and gluten-free."
url20,https://holycowvegan.net/african-sweet-potato-peanut-stew/,0.5,412,113,9.411,0.91,2010-07-08T13:47:00,2010-07-08T13:47:00,2019-01-05T12:46:52,adding - african - sweet - try - textureenjoy - potato - original - veggies - stew - instead - water - tweaked,African Sweet Potato Stew - Holy Cow!,This recipe for African Sweet Potato Stew has no added fat and is so delicious that you will come back for seconds...and thirds.
url21,https://holycowvegan.net/all-recipes-2/,17.9,2983,3785,5.17,0.019,2014-10-03T21:43:04,2014-10-03T21:43:04,2019-11-26T16:45:47,bean - sweet - vegan - potato - roasted - curry - mushroom - holy - cow - tomato - recipes - rice - pasta,Recipe Archives - Holy Cow! Vegan Recipes,"Browse Holy Cow's extensive vegan recipe archives with more than 700 easy, tasty, and healthy recipes."
url22,https://holycowvegan.net/all-whole-wheat-crescent-rolls/,3.6,733,753,6.052,2.485,2013-11-15T17:34:26,2013-11-15T17:34:26,2017-06-09T11:21:00,crescent - allwholewheat - gluten - vegan - wheat - g - flour - wholewheat - rolls - vital - cup,All-Whole-Wheat Crescent Rolls | Holy Cow! Vegan Recipes,"These vegan all-whole-wheat crescent rolls are soft and fluffy on the inside, and crusty and golden on the outside. They have no added sugars."
url23,https://holycowvegan.net/all-whole-wheat-sourdough-bread/,5.4,1149,1142,8.049,0.551,2011-11-17T04:19:00,2011-11-17T04:19:00,2019-05-16T23:03:01,dough - bake - wheat - warm - wholewheat - loaf - sourdough - starter - 100 - baking - bread - cup,100% Whole Wheat Sourdough Bread | Holy Cow! Vegan Recipes,100 % whole wheat sourdough bread. This artisanal looking and beautiful bread made in a cast-iron pan is perfect to accompany soups or for sandwiches.
url24,https://holycowvegan.net/almond-bars-with-citrusy-glaze/,5.5,1157,1156,10.219,2.63,2009-09-16T17:20:00,2009-09-16T17:20:00,2017-04-17T21:01:50,almond - glaze - tsp - cows - vegan - citrusy - dairy - bars - crust - cow - milk - cup,Almond Bars With A Citrusy Glaze | Holy Cow! Vegan Recipes,"A recipe for divine Almond Bars with a Citrusy glaze. These are eggless, dairy-free and delicious."
url25,https://holycowvegan.net/almond-butter-vegan-basics/,1.3,300,282,8.216,2.63,2011-09-17T20:41:00,2011-09-17T20:41:00,2017-04-17T18:09:44,nut - almond - toast - contain - added - oil - nuts - homemade - need - butter - butters,Homemade Almond Butter,An easy recipe for delicious and creamy homemade almond butter that's free of preservatives.
url26,https://holycowvegan.net/almond-cake-citrusy-glutenfree-and-vegan/,4.0,882,844,0.866,0.512,2019-01-21T10:15:57,2019-01-21T10:15:57,2019-05-30T15:57:04,almond - batter - flavor - tsp - sugar - vegan - citrusy - glutenfree - baking - cake - cup,"Almond Cake, citrusy, glutenfree and vegan | Holy Cow! Vegan Recipes","This delicious and vegan Almond Cake is gluten-free and infused with almond and citrus flavor -- a match made in heaven. Soy-free, one-bowl recipe."
url27,https://holycowvegan.net/almond-halwa-for-really-happy-diwali/,1.9,777,401,9.082,2.353,2010-11-05T12:53:00,2010-11-05T12:53:00,2017-07-27T13:36:10,really - almond - ton - sweet - vegan - taste - sure - holy - diwali - cow - almonds - recipes - special - halwa,Almond Halwa Recipe - Holy Cow! Vegan Recipes,"A recipe for a divinely vegan Almond Halwa or Badam Halwa, perfect for Indian festivals or just about any time of the year."
url28,https://holycowvegan.net/almond-pancakes-countdown-to-valentines/,1.2,488,250,6.822,0.923,2013-02-07T12:00:00,2013-02-07T12:00:00,2018-12-31T12:12:16,almond - really - valentines - hearthealthy - vegan - nutty - holy - syrup - heartshaped - cow - recipes - multigrain - pancakes - heres,Almond Pancakes - Holy Cow! Vegan Recipes,"Delicious and healthy multigrain and wholegrain Almond Pancakes. There's a triple hit of almonds here with almond butter, almond milk and crushed almonds."
url29,https://holycowvegan.net/aloo-gobi/,3.4,735,721,0.836,0.375,2019-02-01T10:26:00,2019-02-01T10:26:00,2019-07-19T16:22:42,indian - add - tsp - water - vegan - potatoes - holy - coriander - veggies - cow - cumin - recipes - gobi - cauliflower,Aloo Gobi Recipe - Holy Cow! Vegan Recipes,"Aloo Gobi is a spicy medley of cauliflower and potatoes with spices like cumin, coriander, ginger and garlic. Gluten-free, soy-free and nut-free."
url30,https://holycowvegan.net/aloo-posto-with-new-potatoes-from-my/,4.5,964,950,7.301,0.915,2012-08-16T19:42:00,2012-08-16T19:42:00,2019-01-03T20:20:46,aloo - poppy - phoron - posto - vegan - seed - potatoes - sauce - green - potato - seeds - panch - water - small,"Aloo Posto, Potatoes in a Poppy Seed Sauce | Holy Cow! Vegan Recipes","A recipe for delicious Aloo Posto, a Bengali side dish made with potatoes in a poppy seed paste and spiced with paanch phoron. A gluten-free recipe."
url31,https://holycowvegan.net/aloo-tikki-recipe/,4.2,876,884,0.068,0.063,2019-11-08T09:59:04,2019-11-08T09:59:04,2019-11-10T18:03:26,aloo - add - tikkis - vegan - potatoes - g - tikki - sure - holy - oil - cow - recipes - skillet - dont,Aloo Tikki Recipe | Holy Cow! Vegan Recipes,"An Aloo Tikki is an Indian street food style potato patty or cutlet. This delicious recipe is vegan, soy-free, nut-free and gluten-free."
url32,https://holycowvegan.net/amaranth-dal/,2.6,593,561,4.91,0.921,2015-01-06T08:00:37,2015-01-06T08:00:37,2019-01-01T17:30:43,leaves - tsp - add - water - taste - cook - absolutely - cumin - dal - amaranth,Amaranth Dal | Holy Cow! Vegan Recipes,"A simple weeknight recipe for Amaranth Dal or Chaulai Dal or Thotakura Dal. Serve it with rice or rotis for a healthy, kid-friendly meal."
url33,https://holycowvegan.net/ammas-puliodarai/,2.7,575,572,11.852,0.912,2008-01-29T04:13:00,2008-01-29T04:13:00,2019-01-04T18:01:23,add - tsp - tbsp - mustard - vegan - sauce - puliyodharai - holy - tamarind - cow - recipes - rice - peanuts,Puliyodharai - Holy Cow! Vegan Recipes,"The best recipe ever for puliyodharai or tamarind rice, a delicious prepared rice recipe from the heart of Tamil Nadu."
url34,https://holycowvegan.net/andhra-style-stuffed-eggplants-and-tips/,7.1,1498,1498,8.836,0.912,2011-02-03T20:56:00,2011-02-03T20:56:00,2019-01-04T16:21:59,gutti - india - indian - vegetarian - vankaya - vegan - meat - hindi - restaurants - wont - eggplants - dont - kura,Gutti Vankaya Kura - Holy Cow!,"A recipe for spicy and delicious Andhra-style Stuffed Eggplants, locally known as gutti vankaya. Vegan, gluten-free recipe."
url35,https://holycowvegan.net/angel-hair-pasta-with-green-beans-and/,0.9,48,195,10.811,2.63,2009-02-12T20:27:00,2009-02-12T20:27:00,2017-04-17T21:27:08,add - world - beans - work - vegan - sauce - green - recipe - wholewheat - maybe - onions - recipes - great - mushrooms - pasta,Pasta with Green Beans and Mushrooms - Vegan Recipes | Holy Cow!,This fresh and healthy and vegan Angel-Hair Pasta with Green Beans and Mushrooms is packed with vibrant veggies and is utterly satisfying.
url36,https://holycowvegan.net/apple-cake-with-caramel-pecan-glaze/,3.9,808,819,10.058,0.929,2009-11-14T18:43:00,2009-11-14T18:43:00,2018-12-29T20:33:10,pan - tsp - tbsp - try - vegan - desserts - apple - 12 - caramel - baking - cake - cup,Apple Cake with Caramel - Holy Cow! Vegan Recipes,A recipe for a delicious whole wheat Apple Cake with a Caramel-Pecan Glaze.
url37,https://holycowvegan.net/apple-cinnamon-oatmeal/,2.6,578,557,5.603,0.866,2014-04-28T08:00:44,2014-04-28T08:00:44,2019-01-21T19:56:27,almond - oatmeal - 15 - breakfast - minutes - apple - cinnamon - oats - water - cook,Apple Cinnamon Oatmeal | Holy Cow! Vegan Recipes,"This creamy, luxurious Apple Cinnamon Oatmeal is the ultimate decadence for breakfast-- . Crunchy walnuts and apples and cinnamon add flavor and texture."
url38,https://holycowvegan.net/apple-potato-pancakes/,2.4,516,508,3.986,2.932,2015-12-09T08:00:51,2015-12-09T08:00:51,2016-12-28T16:37:10,thyme - potato - potatoes - vegan - apple - golden - savory - pancakes - mins - cook,Savory Apple Potato Pancakes with Thyme | Holy Cow! Vegan Recipes,These savory Apple Potato Pancakes with Thyme are crispy and golden on the outside and creamy inside. The thyme and green chilies add a hit of flavor.
url39,https://holycowvegan.net/apple-tart/,1.7,909,356,10.079,0.625,2009-11-06T20:30:00,2009-11-06T20:30:00,2019-04-19T09:49:20,dough - vegan - going - perfectly - apple - theres - crust - tart - pie - pretty - perfect - science,Vegan Apple Tart - Holy Cow! Vegan Pie Recipes,"A gorgeous, skinny, lattice-top, vegan Apple Tart with cinnamon that's light and delicious and requires just 10 ingredients to make."
url40,https://holycowvegan.net/applesauce-cake/,2.6,560,554,10.485,2.63,2009-06-11T17:59:00,2009-06-11T17:59:00,2017-04-17T21:16:59,applesauce - tsp - sugar - flour - wholewheat - minutes - recipes - pastry - cake - cup,Applesauce Cake | Holy Cow! Vegan Recipes,This Applesauce Cake is one of those recipes that you can make in a hurry with stuff that's presumably sitting in your pantry. It's delicious.
url41,https://holycowvegan.net/applesauce-sandwich-bread/,4.7,1018,1001,5.77,1.844,2014-02-26T08:00:19,2014-02-26T08:00:19,2018-01-29T20:28:20,dough - applesauce - tbsp - vegan - wheat - minutes - 20 - loaf - delicious - sandwich - bread,Applesauce Sandwich Bread | Holy Cow! Vegan Recipes,"This Applesauce Sandwich Bread is wholesome with oats and whole wheat flour, with applesauce and cinnamon baked right in."
url42,https://holycowvegan.net/arbi-paratha-gluten-free-indian/,3.2,705,686,6.408,2.63,2013-07-08T12:00:00,2013-07-08T12:00:00,2017-04-17T16:12:23,indian - opie - flour - grocery - paratha - eaten - fact - arbi - glutenfree - flatbread - spices,"Gluten-Free Flatbread, Arbi Paratha - Holy Cow! Vegan Recipes","A recipe for a delicious and flaky Arbi Paratha, a vegan and gluten-free flatbread stuffed with a mixture of colocasia and spices."
url43,https://holycowvegan.net/asparagus-potato-pizza/,4.7,986,993,5.677,0.885,2014-04-01T11:59:53,2014-04-01T11:59:53,2019-01-14T16:01:02,dough - pizza - potato - rained - potatoes - minutes - pesto - kale - asparagus - water,Asparagus Potato Pizza with Kale Pesto | Holy Cow! Vegan Recipes,"Have your pizza and eat it too with this crispy, golden Asparagus Potato Pizza with Kale Pesto. You will never miss the cheese in this healthy recipe."
url44,https://holycowvegan.net/aval-upma/,2.2,480,467,8.156,2.63,2011-10-09T18:08:00,2011-10-09T18:08:00,2017-04-17T18:07:24,add - red - potatoes - recipe - onions - upma - recipes - rice - mins - aval,Aval Upma | Holy Cow! Vegan Recipes,"Aval Upma, a south Indian tiffin item, is made with flattened rice, coconut milk, and a few simple spices. Delicious, easy and kid-friendly."
url45,https://holycowvegan.net/avocado-pasta/,2.5,534,526,5.595,1.605,2014-05-01T08:00:35,2014-05-01T08:00:35,2018-04-26T08:44:46,vegan - sauce - holy - recipe - cow - onions - recipes - avocado - guacamole - creamy - mins - pasta - cooked - garlic,Vegan Pasta Avocado - Holy Cow! Vegan Recipes,This pasta avocado marries two of the world's most delicious cuisines -- Italian and Mexican. A creamy guacamole-like sauce is folded into linguini pasta.
url46,https://holycowvegan.net/avocado-shami-kababs/,2.7,586,580,8.814,0.847,2011-02-11T15:49:00,2011-02-11T15:49:00,2019-01-28T20:36:05,mixture - tbsp - avocados - recipe - perfectly - heat - avocado - shami - recipes - pretty - kababs,Avocado Shami Kababs | Holy Cow! Vegan Recipes,A recipe for delicious and spicy Avocado Shami Kababs. Chana Dal adds heft and protein to these tasty kababs. A gluten-free Indian vegan recipe.
url47,https://holycowvegan.net/azuki-bean-dip/,4.4,935,928,5.827,0.589,2014-02-05T08:30:49,2014-02-05T08:30:49,2019-05-02T22:57:49,kitchen - indian - bean - red - dip - store - vegan - azuki - curry - holy - cow - favorite - recipes - beans,Azuki Bean Dip - Holy Cow! Vegan Recipes,A delicious recipe for a Curried Azuki Bean Dip that's fat-free and gluten-free. Curry powder and sundried tomatoes give this dip the perfect yin and yang.
url48,https://holycowvegan.net/badusha-for-diwali/,6.5,1385,1383,10.142,0.915,2009-10-14T17:56:00,2009-10-14T17:56:00,2019-01-03T19:38:15,indian - badushas - sugar - tsp - let - vegan - oil - diwali - syrup - badusha,Badusha For Diwali | Holy Cow! Vegan Recipes,No meta description found.
url49,https://holycowvegan.net/baghare-baingan-naan-pizza-and-winner/,3.0,655,645,9.71,0.575,2010-03-21T01:30:00,2010-03-21T01:30:00,2019-05-07T12:15:29,naan - dough - winner - pizza - grilled - follow - recipe - baghare - baingan - naanpizza - oven,Baghare Baingan Naan-Pizza | Holy Cow! Vegan Recipes,No meta description found.
url50,https://holycowvegan.net/baghare-baingan/,5.2,1112,1105,10.452,0.534,2009-06-23T15:32:00,2009-06-23T15:32:00,2019-05-22T16:51:37,pan - tsp - tbsp - dish - oil - seeds - pans - baghare - baingan - nonstick - castiron - eggplants,Baghare Baingan | Holy Cow! Vegan Recipes,"A recipe for the Andhra favorite Baghare Baingan, a delicious dish of small eggplants or brinjals stuffed with a flavorful coconut mixture."
url51,https://holycowvegan.net/baingan-bharta-with-whole-wheat-naan/,1.3,295,274,11.244,2.63,2008-09-07T02:56:00,2008-09-07T02:56:00,2017-04-17T21:59:17,naan - indian - yogurt - eggplant - wheat - flour - versions - tomatoes - white - baingan - bharta - version - bread - spices,"Baingan Bharta, Whole Wheat Naan | Holy Cow! Vegan Recipes","A delicious, puffy whole wheat naan served with a baingan bharta, a classic north Indian side made with eggplants, tomatoes and onions."
url52,https://holycowvegan.net/baingan-methi-subzi/,1.6,768,340,6.093,0.099,2013-10-31T14:28:00,2013-10-31T14:28:00,2019-10-28T10:12:45,subzi - eggplant - cooked - recipe - baingan - usually - veggies - methi - eggplants - spices - eat,Baingan Methi Subzi | Holy Cow! Vegan Recipes,"Baingan Methi Subzi -- eggplant with fenugreek -- is a fiesty Indian side of eggplant with mustard seed, curry leaves, chickpea flour and mango powder."
url53,https://holycowvegan.net/baked-asparagus-pakoras/,2.8,609,588,5.444,0.488,2014-06-25T08:00:41,2014-06-25T08:00:41,2019-06-08T21:19:53,stalks - bake - tsp - sheet - baked - oil - pakoras - recipes - asparagus - mins,Baked Asparagus Pakoras | Holy Cow! Vegan Recipes,"For these healthy Baked Asparagus Pakoras, I used a traditional chickpea batter, but instead of frying the veggies, I baked them on a sheet pan."
url54,https://holycowvegan.net/baked-one-pot-chickpea-curry-cauliflower-potatoes/,5.9,1269,1245,2.605,0.351,2017-04-26T09:00:53,2017-04-26T09:00:53,2019-07-28T21:02:38,add - vegetable - vegan - potatoes - baked - curry - g - chickpea - pot - cauliflower,Vegan Baked One Pot Chickpea Curry with Cauliflower and Potatoes | Holy Cow! Vegan Recipes,"This baked one pot chickpea curry with cauliflower and potatoes takes minutes to put together. Vegan, soy-free, nut-free and gluten-free."
url55,https://holycowvegan.net/baked-plantain-fries/,2.7,586,572,2.666,2.63,2017-04-04T09:00:46,2017-04-04T09:00:46,2017-04-17T11:35:05,tsp - baked - plantains - eat - crunchy - plantain - great - fries - cut - golden,Baked Plantain Fries | Holy Cow! Vegan Recipes,"These crunchy, golden baked plantain fries are a great option to potato fries. They are spiced lightly with turmeric and ground black pepper."
url56,https://holycowvegan.net/baked-samosas-with-chickpea-filling/,6.4,1279,1359,0.885,0.186,2019-01-14T09:10:00,2019-01-14T09:10:00,2019-09-26T13:45:14,wrapper - tsp - potatoes - baked - flour - oil - samosas - samosa - chickpea - oven - filling,Baked Samosas with Chickpea Filling - Holy Cow! Vegan Recipes,"A recipe for delicious and vegan healthy baked samosas. These golden pockets are stuffed with a chickpea filling, making them extra tasty and nutritious."
url57,https://holycowvegan.net/banana-cake-with-peanut-butter-frosting/,5.7,1160,1216,0.353,0.2,2019-07-27T09:21:00,2019-07-27T09:21:00,2019-09-21T16:33:37,frosting - sugar - vegan - wheat - flour - banana - butter - peanut - cake - cup,Vegan Banana Cake with Peanut Butter Frosting - Holy Cow! Vegan Recipes,A delicious and actually healthy vegan banana cake with vegan peanut butter frosting. Made with whole wheat flour. Vegan and soy-free recipe.
url58,https://holycowvegan.net/banana-chia-cake/,3.0,656,639,5.474,0.2,2014-06-14T08:00:46,2014-06-14T08:00:46,2019-09-21T17:08:30,tsp - chia - vegan - topping - holy - seeds - flour - cow - recipes - crumb - banana - cake - cup,Vegan Banana Chia Cake - Holy Cow! Vegan Recipes,"A recipe for a healthy, melt-in-the-mouth, whole-wheat Banana Chia Cake with Crumb topping. This is a low-fat, wholegrain recipe."
url59,https://holycowvegan.net/banana-coffee-cake/,5.8,1234,1238,5.781,0.444,2014-02-22T08:00:56,2014-02-22T08:00:56,2019-06-24T12:03:39,food - tsp - blog - vegan - coffee - streusel - share - banana - recipes - chocolate - cake - cup,Vegan Banana Coffee Cake with Chocolate Streusel | Holy Cow! Vegan Recipes,"A whole wheat vegan Banana Coffee Cake that's delicious and pretty. The cake has a topping of walnut-and-chocolate-chip streusel. A vegan, soy-free recipe."
url60,https://holycowvegan.net/banana-cupcakes-with-peanut-butter/,2.5,1088,523,6.422,0.101,2013-07-03T12:00:00,2013-07-03T12:00:00,2019-10-27T17:12:58,frosting - work - spent - plants - ashes - yellow - cupcakes - pink - banana - house - yard - beautiful - project - butter - peanut,Banana Cupcakes with Peanut Butter Frosting | Holy Cow! Vegan Recipes,A recipe for tender and light vegan banana cupcakes topped with a delicious peanut butter frosting.
url61,https://holycowvegan.net/banana-nut-muffins/,2.4,489,506,11.455,0.101,2008-06-22T21:24:00,2008-06-22T21:24:00,2019-10-27T17:04:23,batter - tsp - tbsp - vegan - g - muffin - banana - muffins - mg - baking,Vegan Banana Muffins | Holy Cow! Vegan Recipes,Easy vegan Banana Muffins recipe made with whole-wheat flour and pecans/walnuts. The bananas make the muffins moist and tender.
url62,https://holycowvegan.net/banana-oat-scones/,3.4,709,712,11.132,0.866,2008-10-18T02:12:00,2008-10-18T02:12:00,2019-01-21T19:51:45,tsp - vegan - scones - quite - pretty - flour - id - banana - oat - baking - cup,Vegan Banana Oat Scones | Holy Cow! Vegan Recipes,This banana oat scones recipe is a skinny but delicious indulgence. The bananas add great flavor and tenderness while the oats add freshness to the scones.
url63,https://holycowvegan.net/basic-tomato-onion-sauce-for-quick-curries/,6.7,1436,1414,0.63,0.241,2019-04-17T09:00:46,2019-04-17T09:00:46,2019-09-06T08:58:03,indian - curries - add - pressure - instant - sauce - onion - masala - recipe - quick - minutes - tomato - onions - pot,Basic Tomato Onion Masala Sauce for Quick Indian Curries (Instant Pot Recipe) | Holy Cow! Vegan Recipes,"A basic Tomato Onion Sauce to make quick curries, like Methi Malai Paneer Tofu, Chana Masala and Palak Aloo. Instant Pot, pressure cooker, stovetop options."
