BOOK_SERIAL_NUMBER;BOOK_NAME;BOOK_NAME_ENGLISH_TRANSLITERATED;BOOK_TYPE;BOOK_URL;BOOK_URL_HOME;PDF_URLS;NUM_MAX_PAGES
BOOK_SERIALNUM_11;test;test;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/v1.1'>http://literature.awgp.org/book/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/v1'>http://literature.awgp.org/book/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href=''></a>
BOOK_SERIALNUM_12;v2;v2;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/sachitra_gayatri_shiksha_/.1'>http://literature.awgp.org/book/sachitra_gayatri_shiksha_/.1</a>;<a target='_blank' href='http://literature.awgp.org/book/sachitra_gayatri_shiksha_/'>http://literature.awgp.org/book/sachitra_gayatri_shiksha_/</a>;<a target='_blank' href=''></a>;<a target='_blank' href=''></a>
BOOK_SERIALNUM_13;yagyapavit dwara dharm arth kaam moksh ki prapt;yagyaapavit dwar dharm arth kaam moksh ki prapt;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/yagyapavit_dwara_dharm_arth_kaam_moksh_ki_prapt/v1.1'>http://literature.awgp.org/book/yagyapavit_dwara_dharm_arth_kaam_moksh_ki_prapt/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/yagyapavit_dwara_dharm_arth_kaam_moksh_ki_prapt/v1'>http://literature.awgp.org/book/yagyapavit_dwara_dharm_arth_kaam_moksh_ki_prapt/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/yagyapavit_dwara_dharm_arth_kaam_moksh_ki_prapt/v1.8'>http://literature.awgp.org/book/yagyapavit_dwara_dharm_arth_kaam_moksh_ki_prapt/v1.8</a>
BOOK_SERIALNUM_14;अंत:शक्ति के उभार एवं चमत्कार;anta:shakti ke ubhaar evan chamatakaar;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/antahashakti_ke_ubhar/v1.1'>http://literature.awgp.org/book/antahashakti_ke_ubhar/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/antahashakti_ke_ubhar/v1'>http://literature.awgp.org/book/antahashakti_ke_ubhar/v1</a>;<a target='_blank' href='http://literature.awgp.org/var/node/2012/Antahshakti_Ke_Ubhar_Aur_Chamatkar.pdf'>http://literature.awgp.org/var/node/2012/Antahshakti_Ke_Ubhar_Aur_Chamatkar.pdf</a>;<a target='_blank' href='http://literature.awgp.org/book/antahashakti_ke_ubhar/v1.40'>http://literature.awgp.org/book/antahashakti_ke_ubhar/v1.40</a>
BOOK_SERIALNUM_15;अंतरंग जीवन का देवासुर संग्राम;antarang jivan ka devaasur sangaraam;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/Antarang_Jeevan_Ka_Devasur_Sangram/v1.1'>http://literature.awgp.org/book/Antarang_Jeevan_Ka_Devasur_Sangram/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/Antarang_Jeevan_Ka_Devasur_Sangram/v1'>http://literature.awgp.org/book/Antarang_Jeevan_Ka_Devasur_Sangram/v1</a>;<a target='_blank' href='http://literature.awgp.org/var/node/1941/Antrang_Ka_Devasur_Sangram.pdf'>http://literature.awgp.org/var/node/1941/Antrang_Ka_Devasur_Sangram.pdf</a>;<a target='_blank' href='http://literature.awgp.org/book/Antarang_Jeevan_Ka_Devasur_Sangram/v1.157'>http://literature.awgp.org/book/Antarang_Jeevan_Ka_Devasur_Sangram/v1.157</a>
BOOK_SERIALNUM_16;अंतरिक्ष विज्ञान एवं परोक्ष का अनुसंधान;antarikashh vigyaan evan parokashh ka anusandhan;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v1.1'>http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v1'>http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v1</a>;<a target='_blank' href='http://literature.awgp.org/var/node/2294/Antariksh_Vigyan_Evam_Paroksh_Ka_Anusandhan.pdf'>http://literature.awgp.org/var/node/2294/Antariksh_Vigyan_Evam_Paroksh_Ka_Anusandhan.pdf</a>;<a target='_blank' href='http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v1.96'>http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v1.96</a>
BOOK_SERIALNUM_17;अंधविश्वास को उखाड़ फेंकिये;andhvishavaas ko ukhaada fenkiye;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/andhvishwas_ko_ukhad_fenkiye/v1.1'>http://literature.awgp.org/book/andhvishwas_ko_ukhad_fenkiye/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/andhvishwas_ko_ukhad_fenkiye/v1'>http://literature.awgp.org/book/andhvishwas_ko_ukhad_fenkiye/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/andhvishwas_ko_ukhad_fenkiye/v1.48'>http://literature.awgp.org/book/andhvishwas_ko_ukhad_fenkiye/v1.48</a>
BOOK_SERIALNUM_18;अक्षुण्ण स्वास्थ्य प्राप्ति हेतु एक शाश्वत राजमार्ग;akashhunan savaasathay paraapati hetu ek shaashavat raajamaarag;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/akshun_swasthya_prapti_hetu_ek_shashwat_rajmarg/v1.1'>http://literature.awgp.org/book/akshun_swasthya_prapti_hetu_ek_shashwat_rajmarg/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/akshun_swasthya_prapti_hetu_ek_shashwat_rajmarg/v1'>http://literature.awgp.org/book/akshun_swasthya_prapti_hetu_ek_shashwat_rajmarg/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/akshun_swasthya_prapti_hetu_ek_shashwat_rajmarg/v1.8'>http://literature.awgp.org/book/akshun_swasthya_prapti_hetu_ek_shashwat_rajmarg/v1.8</a>
BOOK_SERIALNUM_19;अज्ञान के बन्धन काटें—उन्मुक्त जीवन जियें;agyaan ke banadhn kaaten—unamukat jivan jiyen;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/agyan_ke_bandhan_kaate_anmukt_jivan_jiye/v1.1'>http://literature.awgp.org/book/agyan_ke_bandhan_kaate_anmukt_jivan_jiye/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/agyan_ke_bandhan_kaate_anmukt_jivan_jiye/v1'>http://literature.awgp.org/book/agyan_ke_bandhan_kaate_anmukt_jivan_jiye/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/agyan_ke_bandhan_kaate_anmukt_jivan_jiye/v1.36'>http://literature.awgp.org/book/agyan_ke_bandhan_kaate_anmukt_jivan_jiye/v1.36</a>
BOOK_SERIALNUM_20;अज्ञान ही धर्मक्षेत्र की विकृतियों का कारण;agyaan hi dharmakashhetar ki vikaritiyon ka kaaran;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/agyan_hi_dharmakshetra_ki_vikritoyo_ka_karan/v1.1'>http://literature.awgp.org/book/agyan_hi_dharmakshetra_ki_vikritoyo_ka_karan/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/agyan_hi_dharmakshetra_ki_vikritoyo_ka_karan/v1'>http://literature.awgp.org/book/agyan_hi_dharmakshetra_ki_vikritoyo_ka_karan/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/agyan_hi_dharmakshetra_ki_vikritoyo_ka_karan/v1.8'>http://literature.awgp.org/book/agyan_hi_dharmakshetra_ki_vikritoyo_ka_karan/v1.8</a>
BOOK_SERIALNUM_21;अणु में विभु गागर में सागर;anu men vibhu gaagar men saagar;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v1.1'>http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v1'>http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v1</a>;<a target='_blank' href='http://literature.awgp.org/var/node/1955/Anu_Me_Vibhu_Gagar_Me_Sagar.pdf'>http://literature.awgp.org/var/node/1955/Anu_Me_Vibhu_Gagar_Me_Sagar.pdf</a>;<a target='_blank' href='http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v1.112'>http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v1.112</a>
BOOK_SERIALNUM_22;अणु में विभु-गागर में सागर;anu men vibhu - gaagar men saagar;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v2.1'>http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v2.1</a>;<a target='_blank' href='http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v2'>http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v2</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v2.7'>http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v2.7</a>
BOOK_SERIALNUM_23;अति भावुकता से सावधान;ati bhaavukata se saavadhan;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/ati_bhawukta_se_sawdhan/v1.1'>http://literature.awgp.org/book/ati_bhawukta_se_sawdhan/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/ati_bhawukta_se_sawdhan/v1'>http://literature.awgp.org/book/ati_bhawukta_se_sawdhan/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/ati_bhawukta_se_sawdhan/v1.5'>http://literature.awgp.org/book/ati_bhawukta_se_sawdhan/v1.5</a>
BOOK_SERIALNUM_24;अतींद्रिय सामर्थ्य संयोग नहीं तथ्य;atindariy saamarathay sanyog nahin tathya;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v1.1'>http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v1'>http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v1</a>;<a target='_blank' href='http://literature.awgp.org/var/node/2296/Atindriya_Saamarthy_Sanyog_Nahi_Tathya.pdf'>http://literature.awgp.org/var/node/2296/Atindriya_Saamarthy_Sanyog_Nahi_Tathya.pdf</a>;<a target='_blank' href='http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v1.96'>http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v1.96</a>
BOOK_SERIALNUM_25;अतीन्द्रिय क्षमताओं की पृष्ठभूमि;atinadariy kashhamataon ki parishhathabhoomi;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v2.1'>http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v2.1</a>;<a target='_blank' href='http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v2'>http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v2</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v2.7'>http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v2.7</a>
BOOK_SERIALNUM_26;अतीन्द्रिय क्षमताओं की पृष्ठभूमि;atinadariy kashhamataon ki parishhathabhoomi;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v1.1'>http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v1'>http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v1</a>;<a target='_blank' href='http://literature.awgp.org/var/node/1940/Atindriya_Kshamataon_Ki_Pristhabhoomi.pdf'>http://literature.awgp.org/var/node/1940/Atindriya_Kshamataon_Ki_Pristhabhoomi.pdf</a>;<a target='_blank' href='http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v1.104'>http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v1.104</a>
BOOK_SERIALNUM_27;अतीन्द्रिय सामर्थ्य संयोग नहीं तथ्य;atinadariy saamarathay sanyog nahin tathya;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v2.1'>http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v2.1</a>;<a target='_blank' href='http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v2'>http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v2</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v2.5'>http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v2.5</a>
BOOK_SERIALNUM_28;अथर्वेद भाग-1A;atharaved bhaag - 1A;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v1.1'>http://literature.awgp.org/book/atharveda/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v1'>http://literature.awgp.org/book/atharveda/v1</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v1.170'>http://literature.awgp.org/book/atharveda/v1.170</a>
BOOK_SERIALNUM_29;अथर्वेद भाग-1B;atharaved bhaag - 1B;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v2.1'>http://literature.awgp.org/book/atharveda/v2.1</a>;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v2'>http://literature.awgp.org/book/atharveda/v2</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v2.170'>http://literature.awgp.org/book/atharveda/v2.170</a>
BOOK_SERIALNUM_30;अथर्वेद भाग-1C;atharaved bhaag - 1C;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v3.1'>http://literature.awgp.org/book/atharveda/v3.1</a>;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v3'>http://literature.awgp.org/book/atharveda/v3</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v3.178'>http://literature.awgp.org/book/atharveda/v3.178</a>
BOOK_SERIALNUM_31;अथर्वेद भाग-2A;atharaved bhaag - 2A;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v4.1'>http://literature.awgp.org/book/atharveda/v4.1</a>;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v4'>http://literature.awgp.org/book/atharveda/v4</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v4.150'>http://literature.awgp.org/book/atharveda/v4.150</a>
BOOK_SERIALNUM_32;अथर्वेद भाग-2B;atharaved bhaag - 2B;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v5.1'>http://literature.awgp.org/book/atharveda/v5.1</a>;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v5'>http://literature.awgp.org/book/atharveda/v5</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v5.150'>http://literature.awgp.org/book/atharveda/v5.150</a>
BOOK_SERIALNUM_33;अथर्वेद भाग-2C;atharaved bhaag - 2C;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v6.1'>http://literature.awgp.org/book/atharveda/v6.1</a>;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v6'>http://literature.awgp.org/book/atharveda/v6</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/atharveda/v6.142'>http://literature.awgp.org/book/atharveda/v6.142</a>
BOOK_SERIALNUM_34;अदभुत आश्चर्यजनक किन्तु सत्य -1;adabhut aashacharayajanak kinatu satay  - 1;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v1.1'>http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v1'>http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v1</a>;<a target='_blank' href='http://literature.awgp.org/var/node/65687/Adbhoot,_Aashcharyjanak_Kintu_Satya.pdf'>http://literature.awgp.org/var/node/65687/Adbhoot,_Aashcharyjanak_Kintu_Satya.pdf</a>;<a target='_blank' href='http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v1.54'>http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v1.54</a>
BOOK_SERIALNUM_35;अदभुत आश्चर्यजनक किन्तु सत्य -2;adabhut aashacharayajanak kinatu satay  - 2;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v2.1'>http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v2.1</a>;<a target='_blank' href='http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v2'>http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v2</a>;<a target='_blank' href='http://literature.awgp.org/var/node/65688/Adbhoot,_Aashcharyjanak_Kintu_Satya__2_.pdf'>http://literature.awgp.org/var/node/65688/Adbhoot,_Aashcharyjanak_Kintu_Satya__2_.pdf</a>;<a target='_blank' href='http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v2.32'>http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v2.32</a>
BOOK_SERIALNUM_36;अदभुत आश्चर्यजनक किन्तु सत्य -3;adabhut aashacharayajanak kinatu satay  - 3;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v3.1'>http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v3.1</a>;<a target='_blank' href='http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v3'>http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v3</a>;<a target='_blank' href='http://literature.awgp.org/var/node/65689/H-SJ_78_Adbhoot,_Aashcharyjanak_Kintu_Satya__2_.pdf'>http://literature.awgp.org/var/node/65689/H-SJ_78_Adbhoot,_Aashcharyjanak_Kintu_Satya__2_.pdf</a>;<a target='_blank' href='http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v3.16'>http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v3.16</a>
BOOK_SERIALNUM_37;अदृश्य जगत का पर्यवेक्षण सपनों की खिड़की से;adarishay jagat ka parayavekashhan sapanon ki khidaaki se;Text Book Version;<a target='_blank' href='http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v2.1'>http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v2.1</a>;<a target='_blank' href='http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v2'>http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v2</a>;<a target='_blank' href=''></a>;<a target='_blank' href='http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v2.5'>http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v2.5</a>
BOOK_SERIALNUM_38;अदृश्य जगत का पर्यवेक्षण सपनों की खिड़की से !;adarishay jagat ka parayavekashhan sapanon ki khidaaki se !;Scan Book Version;<a target='_blank' href='http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v1.1'>http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v1.1</a>;<a target='_blank' href='http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v1'>http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v1</a>;<a target='_blank' href='http://literature.awgp.org/var/node/2299/Adrushya_Jagat_Ka_Paryavekshan_Sapanon_Ki_Khidaki_Se.pdf'>http://literature.awgp.org/var/node/2299/Adrushya_Jagat_Ka_Paryavekshan_Sapanon_Ki_Khidaki_Se.pdf</a>;<a target='_blank' href='http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v1.88'>http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v1.88</a>
