URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS,TITLE_TAG_VALUE,META_DESCRIPTION
url40,https://www.mygingergarlickitchen.com/adult-beer-float-video-recipe/,4.1,1065,871,0.118,0.118,2023-12-16T08:43:41,2023-12-16T08:43:41,2023-12-16T08:43:41,vanilla - video - weekend - icecream - sauce - adult - recipe - float - cream - drink - beer - whipped - making,Adult Beer Float - Video Recipe,Vanilla ice cream and home brewed beer combined with a dollop of whipped cream and a drizzle of caramel sauce would make an ultimate weekend adult drink.
url41,https://www.mygingergarlickitchen.com/afghan-naan-bread-video/,6.6,1808,1392,0.252,0.252,2023-10-28T09:54:05,2023-10-28T09:54:05,2023-10-28T09:54:05,flour - video - festivals - warm - naaneafghani - mixture - dough - naan - recipe - bread - afghan,Afghan Naan Bread Recipe + Video | Naan-e-Afghani | Afghan Naan,Learn to make Afghan Naan bread recipe with a video tutorial. This oval shaped wonderfully soft homemade naan bread is perfect for any kind of curry or stew.
url42,https://www.mygingergarlickitchen.com/air-fryer-kale-chips/,5.8,1873,1235,0.219,0.219,2023-11-09T20:33:56,2023-11-09T20:33:56,2023-11-09T20:33:56,air - minutes - chips - fryer - kale - recipe - salt - fry - oil - need,Easy and Healthy Air Fryer Kale Chips Recipe + Video,This easy Air Fryer Kale Chips recipe makes a batch of perfectly delicious crispy kale chips in under 10 minutes from scratch! Snack for any time of the day.
url43,https://www.mygingergarlickitchen.com/alfredo-sauce/,7.7,2091,1625,0.197,0.197,2023-11-17T21:58:50,2023-11-17T21:58:50,2023-11-17T21:58:50,parmesan - pasta - cheese - sauce - homemade - cream - recipe - add - garlic - best - alfredo,"Best Homemade Alfredo Sauce Recipe + Video (Easy, Make Ahead)","This homemade alfredo sauce is creamy, smooth and flavorful. With this simple and easy video recipe you can make Fettuccine Alfredo in 15 minutes."
url44,https://www.mygingergarlickitchen.com/algae-and-seaweed-the-overlooked-superfoods/,3.9,794,819,0.186,0.186,2023-11-21T03:14:44,2023-11-21T03:14:44,2023-11-21T03:14:44,theyre - algae - talk - superfoods - overlooked - seaweed - underwater - spirulina - usual - body - way,,"We all love to talk about superfoods, right? The usual suspects like kale, quinoa, and goji berries are always hogging the spotlight."
url45,https://www.mygingergarlickitchen.com/allrecipes/,0.2,2,41,0,0,None,Not found = first published time,Not found = last updated time,share - welcome - allrecipes - food - tips - styling - thats - recipes - ya - tosread - thinking,Allrecipes | My Ginger Garlic Kitchen,"List of delicious, quick, simple, and healthy . These recipes can easily be cooked with the ingredients already available in your kitchen."
url46,https://www.mygingergarlickitchen.com/almond-flour-cookies/,8.3,2353,1753,0.184,0.184,2023-11-22T21:54:53,2023-11-22T21:54:53,2023-11-22T21:54:53,flour - ingredient - almond - honey - cookie - dough - recipe - cookies - ingredients - coconut - milk,"3-Ingredient Almond Flour Cookies Recipe (Vegan, Keto Option)","These 3-ingredient almond flour cookies are healthy and delicious cookies that are gluten-free, grain-free, and refined sugar-free. Vegan and keto options too."
url47,https://www.mygingergarlickitchen.com/almond-flour-crackers/,10.7,3027,2259,0.151,0.151,2023-12-04T14:23:35,2023-12-04T14:23:35,2023-12-04T14:23:35,flour - roll - almond - dough - sheet - recipe - seeds - oil - baking - crackers,"Almond Flour Crackers (Paleo, Keto) - Step-By-Step Recipe + Video","These crunchy, almond flour crackers (keto crackers) are made with very simple 5 main and 4 optional ingredients."
url48,https://www.mygingergarlickitchen.com/almond-peas-curry/,5.7,1626,1205,0.203,0.203,2023-11-15T21:44:39,2023-11-15T21:44:39,2023-11-15T21:44:39,share - almond - curry - peas - sharing - powder - kaju - matar - almonds - recipe - badam,Almond Peas Curry Recipe (Vegan & Gluten Free) | Matar Badam Curry,"Almond Peas Curry or Matar Badam Curry is a spicy, little tangy, slightly sweet and full of that yummy curry flavor. Perfect with naan or any flatbread."
url49,https://www.mygingergarlickitchen.com/almond-rose-rabri-dash-saffron/,2.9,918,620,0.26,0.26,2023-10-25T00:39:55,2023-10-25T00:39:55,2023-10-25T00:39:55,rose - almond - perfect - warm - snow - day - rabri - saffron - love - dessert,Almond Rose Rabri,"Almond Rose Rabri With a dash of Saffron is a perfect dessert for any day, or when you have cravings for sweet. You can make this as weekend family dessert."
url50,https://www.mygingergarlickitchen.com/almonds-oat-cookies/,2.2,851,456,0.216,0.216,2023-11-10T16:29:19,2023-11-10T16:29:19,2023-11-10T16:29:19,flour - oatmeal - almond - mix - healthy - almonds - cookies - baking - oat - eggless - oats,Almonds Oat Cookies - Eggless,Eggless Almonds Oat Cookies are healthy because they are made with oatmeal and almond flour. These easy to make cookies are a healthy option for breakfast.
url51,https://www.mygingergarlickitchen.com/aloo-baingan-masala/,9.3,2871,1979,0.227,0.227,2023-11-06T19:53:54,2023-11-06T19:53:54,2023-11-06T19:53:54,masala - instant - baingan - curry - aloo - powder - potatoes - pressure - recipe - eggplant - pot - add - cooker - potato,"Aloo Baingan Recipe | Aloo Baningan Ki Sabji (Cooker, Instant Pot)","Aloo Baingan Masala - Potato Eggplant Curry makes a flavorful, and hearty vegetarian Indian curry made with potatoes and eggplants. Ready under 25 minutes."
url52,https://www.mygingergarlickitchen.com/aloo-bhujia/,9.1,2608,1934,0.241,0.241,2023-11-01T21:10:18,2023-11-01T21:10:18,2023-11-01T21:10:18,aloo - powder - snack - namkeen - sev - dough - recipe - add - oil - crispy - bhujia - potato,Aloo Bhujia Recipe | Aloo Sev Recipe | Haldiram Aloo Bhujia Recipe,"Aloo Bhujia is a very popular, crunchy, crispy, and deep-fried snack made with spicy potato and besan mix. This snack is best for munching at any time."
url53,https://www.mygingergarlickitchen.com/aloo-gobi-dhaba-style-punjabi-dry-aloo-gobi-sabji-video-recipe-potato-cauliflower/,5.6,1791,1181,0.211,0.211,2023-11-12T03:18:54,2023-11-12T03:18:54,2023-11-12T03:18:54,minutes - aloo - dish - style - recipe - add - dry - gobi - cauliflower - dhaba - potato,Dhaba Style Dry Aloo Gobi Recipe + Video (Potato and Cauliflower),This hearty and flavor-packed cauliflower and potato dish (Aloo Gobi) is one of the most beloved vegetarian side dishes in every part of India.
url54,https://www.mygingergarlickitchen.com/aloo-ka-halwa-how-to-make-potato-halwa-video-recipe/,4.6,1259,973,0.145,0.145,2023-12-06T05:08:34,2023-12-06T05:08:34,2023-12-06T05:08:34,mom - video - aloo - halwa - dont - recipe - love - need - ka - eat - potato,Aloo Ka Halwa Recipe + Video | Aalu Ka Halwa | Indian Potato Halwa,"Aloo Ka Halwa is a very tasty, easy and gluten-free dessert is cooked with boiled mashed potatoes, ghee, and sugar. You can serve it anytime as a dessert."
url55,https://www.mygingergarlickitchen.com/aloo-kulcha-recipe/,9.5,3040,2016,0.178,0.178,2023-11-24T17:57:06,2023-11-24T17:57:06,2023-11-24T17:57:06,stuffed - flour - minutes - aloo - amritsari - using - kulcha - dough - recipe - fingers - flatbread - potato - stuffing,Amritsari Aloo Kulcha Recipe | Aloo Kulcha (Potato Stuffed Flatbread),"Aloo Kulcha is a popular Punjabi leavened flatbread stuffed with spicy and tangy mashed potato filling. It is served as a snack, breakfast, or a side dish."
url56,https://www.mygingergarlickitchen.com/aloo-pakora/,19.3,4745,4098,0.178,0.178,2023-11-24T05:50:30,2023-11-24T05:50:30,2023-11-24T05:50:30,flour - potatoes - pakora - pakoras - add - oil - potato - crispy - batter - aloo,Aloo Pakora - Aalu Bajji (Step-By-Step + Video recipe),"Aloo Pakora, also known as Potato Pakora or Aalu Bhajiya, is a popular deep-fried Indian snack that is crispy and delicious. Perfect snack."
url57,https://www.mygingergarlickitchen.com/aloo-palak-paratha-potato-stuffed-spinach-flatbread/,4.0,1314,848,0.258,0.258,2023-10-26T18:26:48,2023-10-26T18:26:48,2023-10-26T18:26:48,stuffed - paratha - aloo - powder - palak - recipe - love - oil - spinach - green - flatbread - potato,Aloo Palak Paratha (Step By Step) | Potato Stuffed Spinach Flatbread,Learn to make Aloo Palak Paratha with step-by-step photo instructions. Aloo Palak Paratha is a spicy potato stuffed spinanch flatbread. Serve with yogurt.
url58,https://www.mygingergarlickitchen.com/aloo-palak/,6.7,2020,1418,0.186,0.186,2023-11-21T20:33:38,2023-11-21T20:33:38,2023-11-21T20:33:38,potatoes - aloo - version - sabzi - palak - stir - dish - recipe - fry - add - spinach - potato,Aloo Palak - Spinach Potato Stir Fry,"Easy and healthy homestyle Aloo Palak is a gluten-free, vegan side dish from North India where spinach and potatoes are stir-fried along with mild spices."
url59,https://www.mygingergarlickitchen.com/aloo-poha-recipe/,8.0,2277,1691,0.145,0.145,2023-12-06T00:54:47,2023-12-06T00:54:47,2023-12-06T00:54:47,stepbystepvideo - minutes - potatoes - good - recipe - water - add - poha - potato - rice - aloo,Aloo Poha Recipe (Step-By-Step-Video) | Aloo Kanda Poha | Batata Poha,"Aloo Poha or Potato Poha is a popular breakfast/snack recipe in Maharashtra, Gujarat, and Madhya Pradesh. This wholesome dish is made with beaten rice."
url60,https://www.mygingergarlickitchen.com/aloo-poori-recipe-puri-sabji-recipe-video-aloo-ki-rasewali-sabzi-with-puri/,6.4,2044,1347,0.2,0.2,2023-11-16T18:19:19,2023-11-16T18:19:19,2023-11-16T18:19:19,paratha - breakfast - sabzi - sabji - rasewali - recipe - puri - indian - add - poori - ki - aloo,Aloo Puri Recipe - Puri Sabji Recipe (Aloo Ki Rasewali Sabzi),"Aloo Poori or Puri Sabji is a North Indian breakfast-lunch recipe. Sabji is a spicy potato dish which is served with puffed up, deep fried Indian bread poori."
url61,https://www.mygingergarlickitchen.com/aloo-tikki-burger-video-recipe/,5.6,1740,1193,0.252,0.252,2023-10-28T02:44:44,2023-10-28T02:44:44,2023-10-28T02:44:44,patties - ketchup - tikki - burger - spicy - recipe - add - bun - tikkis - pan - aloo,Aloo Tikki Burger Recipe | McAloo Tikki Burger | Aloo Patty Burger,"Aloo Tikki Burger is a hearty, satisfying Indian style vegetarian spicy burger where a spicy potato tikki or patty is sandwiched between buns."
