BOOK_SERIAL_NUMBER;BOOK_TYPE;BOOK_NAME;BOOK_NAME_TRANSLATED_ENGLISH;BOOK_URL;BOOK_NAME_ENGLISH_TRANSLITERATED;BOOK_URL_HOME;PDF_URLS;NUM_MAX_PAGES
BOOK_SERIALNUM_15;Scan Book Version;अंतरंग जीवन का देवासुर संग्राम;Devasur battle of intimate life;http://literature.awgp.org/book/Antarang_Jeevan_Ka_Devasur_Sangram/v1.1;antarang jivan ka devaasur sangaraam;http://literature.awgp.org/book/Antarang_Jeevan_Ka_Devasur_Sangram/v1;http://literature.awgp.org/var/node/1941/Antrang_Ka_Devasur_Sangram.pdf;http://literature.awgp.org/book/Antarang_Jeevan_Ka_Devasur_Sangram/v1.157
BOOK_SERIALNUM_16;Scan Book Version;अंतरिक्ष विज्ञान एवं परोक्ष का अनुसंधान;space science and research of indirect;http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v1.1;antarikashh vigyaan evan parokashh ka anusandhan;http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v1;http://literature.awgp.org/var/node/2294/Antariksh_Vigyan_Evam_Paroksh_Ka_Anusandhan.pdf;http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v1.96
BOOK_SERIALNUM_17;Text Book Version;अंधविश्वास को उखाड़ फेंकिये;cast off superstition;http://literature.awgp.org/book/andhvishwas_ko_ukhad_fenkiye/v1.1;andhvishavaas ko ukhaada fenkiye;http://literature.awgp.org/book/andhvishwas_ko_ukhad_fenkiye/v1;;http://literature.awgp.org/book/andhvishwas_ko_ukhad_fenkiye/v1.48
BOOK_SERIALNUM_18;Text Book Version;अक्षुण्ण स्वास्थ्य प्राप्ति हेतु एक शाश्वत राजमार्ग;An eternal highway to perfect health;http://literature.awgp.org/book/akshun_swasthya_prapti_hetu_ek_shashwat_rajmarg/v1.1;akashhunan savaasathay paraapati hetu ek shaashavat raajamaarag;http://literature.awgp.org/book/akshun_swasthya_prapti_hetu_ek_shashwat_rajmarg/v1;;http://literature.awgp.org/book/akshun_swasthya_prapti_hetu_ek_shashwat_rajmarg/v1.8
BOOK_SERIALNUM_19;Text Book Version;अज्ञान के बन्धन काटें—उन्मुक्त जीवन जियें;Cut the shackles of ignorance - live a free life;http://literature.awgp.org/book/agyan_ke_bandhan_kaate_anmukt_jivan_jiye/v1.1;agyaan ke banadhn kaaten—unamukat jivan jiyen;http://literature.awgp.org/book/agyan_ke_bandhan_kaate_anmukt_jivan_jiye/v1;;http://literature.awgp.org/book/agyan_ke_bandhan_kaate_anmukt_jivan_jiye/v1.36
BOOK_SERIALNUM_20;Text Book Version;अज्ञान ही धर्मक्षेत्र की विकृतियों का कारण;Ignorance is the reason for distortions in the field of religion;http://literature.awgp.org/book/agyan_hi_dharmakshetra_ki_vikritoyo_ka_karan/v1.1;agyaan hi dharmakashhetar ki vikaritiyon ka kaaran;http://literature.awgp.org/book/agyan_hi_dharmakshetra_ki_vikritoyo_ka_karan/v1;;http://literature.awgp.org/book/agyan_hi_dharmakshetra_ki_vikritoyo_ka_karan/v1.8
BOOK_SERIALNUM_21;Scan Book Version;अणु में विभु गागर में सागर;ocean in ocean;http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v1.1;anu men vibhu gaagar men saagar;http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v1;http://literature.awgp.org/var/node/1955/Anu_Me_Vibhu_Gagar_Me_Sagar.pdf;http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v1.112
BOOK_SERIALNUM_22;Text Book Version;अणु में विभु-गागर में सागर;Vibhu in Molecule - Sagar in Gagar;http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v2.1;anu men vibhu - gaagar men saagar;http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v2;;http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v2.7
BOOK_SERIALNUM_23;Text Book Version;अति भावुकता से सावधान;beware of over sentimentality;http://literature.awgp.org/book/ati_bhawukta_se_sawdhan/v1.1;ati bhaavukata se saavadhan;http://literature.awgp.org/book/ati_bhawukta_se_sawdhan/v1;;http://literature.awgp.org/book/ati_bhawukta_se_sawdhan/v1.5
BOOK_SERIALNUM_24;Scan Book Version;अतींद्रिय सामर्थ्य संयोग नहीं तथ्य;extrasensory abilities not a coincidence fact;http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v1.1;atindariy saamarathay sanyog nahin tathya;http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v1;http://literature.awgp.org/var/node/2296/Atindriya_Saamarthy_Sanyog_Nahi_Tathya.pdf;http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v1.96
BOOK_SERIALNUM_25;Text Book Version;अतीन्द्रिय क्षमताओं की पृष्ठभूमि;background of psychic abilities;http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v2.1;atinadariy kashhamataon ki parishhathabhoomi;http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v2;;http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v2.7
BOOK_SERIALNUM_26;Scan Book Version;अतीन्द्रिय क्षमताओं की पृष्ठभूमि;background of psychic abilities;http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v1.1;atinadariy kashhamataon ki parishhathabhoomi;http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v1;http://literature.awgp.org/var/node/1940/Atindriya_Kshamataon_Ki_Pristhabhoomi.pdf;http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v1.104
BOOK_SERIALNUM_27;Text Book Version;अतीन्द्रिय सामर्थ्य संयोग नहीं तथ्य;extrasensory abilities not a coincidence fact;http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v2.1;atinadariy saamarathay sanyog nahin tathya;http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v2;;http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v2.5
BOOK_SERIALNUM_28;Scan Book Version;अथर्वेद भाग-1A;Atharvaveda Part-1A;http://literature.awgp.org/book/atharveda/v1.1;atharaved bhaag - 1A;http://literature.awgp.org/book/atharveda/v1;;http://literature.awgp.org/book/atharveda/v1.170
BOOK_SERIALNUM_29;Scan Book Version;अथर्वेद भाग-1B;Atharvaveda Part-1B;http://literature.awgp.org/book/atharveda/v2.1;atharaved bhaag - 1B;http://literature.awgp.org/book/atharveda/v2;;http://literature.awgp.org/book/atharveda/v2.170
BOOK_SERIALNUM_30;Scan Book Version;अथर्वेद भाग-1C;Atharvaveda Part-1C;http://literature.awgp.org/book/atharveda/v3.1;atharaved bhaag - 1C;http://literature.awgp.org/book/atharveda/v3;;http://literature.awgp.org/book/atharveda/v3.178
BOOK_SERIALNUM_31;Scan Book Version;अथर्वेद भाग-2A;Atharvaveda Part-2A;http://literature.awgp.org/book/atharveda/v4.1;atharaved bhaag - 2A;http://literature.awgp.org/book/atharveda/v4;;http://literature.awgp.org/book/atharveda/v4.150
BOOK_SERIALNUM_32;Scan Book Version;अथर्वेद भाग-2B;Atharvaveda Part-2B;http://literature.awgp.org/book/atharveda/v5.1;atharaved bhaag - 2B;http://literature.awgp.org/book/atharveda/v5;;http://literature.awgp.org/book/atharveda/v5.150
BOOK_SERIALNUM_33;Scan Book Version;अथर्वेद भाग-2C;Atharvaveda Part-2C;http://literature.awgp.org/book/atharveda/v6.1;atharaved bhaag - 2C;http://literature.awgp.org/book/atharveda/v6;;http://literature.awgp.org/book/atharveda/v6.142
BOOK_SERIALNUM_34;Text Book Version;अदभुत आश्चर्यजनक किन्तु सत्य -1;amazing amazing but true -1;http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v1.1;adabhut aashacharayajanak kinatu satay  - 1;http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v1;http://literature.awgp.org/var/node/65687/Adbhoot,_Aashcharyjanak_Kintu_Satya.pdf;http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v1.54
BOOK_SERIALNUM_35;Text Book Version;अदभुत आश्चर्यजनक किन्तु सत्य -2;amazing amazing but true-2;http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v2.1;adabhut aashacharayajanak kinatu satay  - 2;http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v2;http://literature.awgp.org/var/node/65688/Adbhoot,_Aashcharyjanak_Kintu_Satya__2_.pdf;http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v2.32
BOOK_SERIALNUM_36;Text Book Version;अदभुत आश्चर्यजनक किन्तु सत्य -3;amazing amazing but true-3;http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v3.1;adabhut aashacharayajanak kinatu satay  - 3;http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v3;http://literature.awgp.org/var/node/65689/H-SJ_78_Adbhoot,_Aashcharyjanak_Kintu_Satya__2_.pdf;http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v3.16
BOOK_SERIALNUM_37;Text Book Version;अदृश्य जगत का पर्यवेक्षण सपनों की खिड़की से;Observing the invisible world through the window of dreams;http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v2.1;adarishay jagat ka parayavekashhan sapanon ki khidaaki se;http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v2;;http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v2.5
BOOK_SERIALNUM_38;Scan Book Version;अदृश्य जगत का पर्यवेक्षण सपनों की खिड़की से !;Observation of the invisible world through the window of dreams!;http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v1.1;adarishay jagat ka parayavekashhan sapanon ki khidaaki se !;http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v1;http://literature.awgp.org/var/node/2299/Adrushya_Jagat_Ka_Paryavekshan_Sapanon_Ki_Khidaki_Se.pdf;http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v1.88
BOOK_SERIALNUM_39;Text Book Version;अध्यात्म एक नगद धर्म;spirituality a cash religion;http://literature.awgp.org/book/adhyatm_ek_nagad_dharm/v1.1;adhyaatam ek nagad dharm;http://literature.awgp.org/book/adhyatm_ek_nagad_dharm/v1;http://literature.awgp.org/var/node/68751/H-JS_84_Aadhyatm_Ek_Nakad_Dharm.pdf;
BOOK_SERIALNUM_40;Scan Book Version;अध्यात्म एक नगद धर्म;spirituality a cash religion;http://literature.awgp.org/book/adhyatm_ek_nagad_dharm/v2.1;adhyaatam ek nagad dharm;http://literature.awgp.org/book/adhyatm_ek_nagad_dharm/v2;http://literature.awgp.org/var/node/68851/Aadhyatm_Ek_Nakad_Dharm.pdf;http://literature.awgp.org/book/adhyatm_ek_nagad_dharm/v2.64
BOOK_SERIALNUM_41;Scan Book Version;अध्यात्म एक प्रकार का समर;a kind of spiritual summer;http://literature.awgp.org/book/adhyatm_ek_prakar_ka_samar/v2.1;adhyaatam ek parakaar ka samar;http://literature.awgp.org/book/adhyatm_ek_prakar_ka_samar/v2;http://literature.awgp.org/var/node/68852/Aadhyatm_Ek_Prakar_Ka_Samar.pdf;http://literature.awgp.org/book/adhyatm_ek_prakar_ka_samar/v2.32
BOOK_SERIALNUM_42;Text Book Version;अध्यात्म एक प्रकार का समर;a kind of spiritual summer;http://literature.awgp.org/book/adhyatm_ek_prakar_ka_samar/v1.1;adhyaatam ek parakaar ka samar;http://literature.awgp.org/book/adhyatm_ek_prakar_ka_samar/v1;http://literature.awgp.org/var/node/68785/H-JS_91_Aadhyatm_Ek_Prakar_Ka_Samar.pdf;
BOOK_SERIALNUM_43;Text Book Version;अध्यात्म का मर्म समझें;understand the meaning of spirituality;http://literature.awgp.org/book/adhyatm_ka_marm_samajhen/v1.1;adhyaatam ka maram samajhen;http://literature.awgp.org/book/adhyatm_ka_marm_samajhen/v1;http://literature.awgp.org/var/node/68787/H-JS_42_Aadhyatm_Ka_Marm_Samajhen.pdf;
BOOK_SERIALNUM_44;Scan Book Version;अध्यात्म का मर्म समझें;understand the meaning of spirituality;http://literature.awgp.org/book/adhyatm_ka_marm_samajhen/v2.1;adhyaatam ka maram samajhen;http://literature.awgp.org/book/adhyatm_ka_marm_samajhen/v2;http://literature.awgp.org/var/node/68853/Aadhyatm_Ka_Marm_Samajhen.pdf;http://literature.awgp.org/book/adhyatm_ka_marm_samajhen/v2.32
BOOK_SERIALNUM_45;Text Book Version;अध्यात्म के सही स्वरूप का पुनर्जागरण;Renaissance of the true form of spirituality;http://literature.awgp.org/book/adhyatm_ke_sahee_svaroop_ka_punarjagaran/v1.1;adhyaatam ke sahi savaroop ka punarajaagaran;http://literature.awgp.org/book/adhyatm_ke_sahee_svaroop_ka_punarjagaran/v1;;
BOOK_SERIALNUM_46;Scan Book Version;अध्यात्म को जीवंत बनाएँ;bring spirituality alive;http://literature.awgp.org/book/adhyatm_ko_jeevant_banaen/v2.1;adhyaatam ko jivant banaen;http://literature.awgp.org/book/adhyatm_ko_jeevant_banaen/v2;http://literature.awgp.org/var/node/68854/Aadhyatm_Ko_Jivant_Banaen.pdf;http://literature.awgp.org/book/adhyatm_ko_jeevant_banaen/v2.31
BOOK_SERIALNUM_47;Text Book Version;अध्यात्म को जीवंत बनाएँ;bring spirituality alive;http://literature.awgp.org/book/adhyatm_ko_jeevant_banaen/v1.1;adhyaatam ko jivant banaen;http://literature.awgp.org/book/adhyatm_ko_jeevant_banaen/v1;http://literature.awgp.org/var/node/68789/H-JS_47_Aadhyatm_Ko_Jivant_Banaen.pdf;
BOOK_SERIALNUM_48;Scan Book Version;अध्यात्म क्या था ? क्या हो गया ? क्या होना चाहिए ?;What was spirituality? What happened ? What should be ?;http://literature.awgp.org/book/what_is_spirituality/v2.1;adhyaatam kaya tha ? kaya ho gaya ? kaya hona chaahie ?;http://literature.awgp.org/book/what_is_spirituality/v2;http://literature.awgp.org/var/node/1712/Adhyatm_Kya_Tha__Kya_Ho_Gaya__Kya_Hona_Chahie_.pdf;http://literature.awgp.org/book/what_is_spirituality/v2.242
BOOK_SERIALNUM_49;Text Book Version;अध्यात्म क्या था? क्या हो गया? क्या होना चाहिए?;What was spirituality? What happened? What should be?;http://literature.awgp.org/book/what_is_spirituality/v4.1;adhyaatam kaya thaa? kaya ho gayaa? kaya hona chaahie?;http://literature.awgp.org/book/what_is_spirituality/v4;;http://literature.awgp.org/book/what_is_spirituality/v4.9
BOOK_SERIALNUM_50;Scan Book Version;अध्यात्म चेतना का ध्रुव केन्द्र हिमालय;Himalaya, the pole center of spiritual consciousness;http://literature.awgp.org/book/Adhyatm_Chetana_Ka_Druv_Kendra_Himalay/v1.1;adhyaatam chetana ka dhruv kenadar himaalay;http://literature.awgp.org/book/Adhyatm_Chetana_Ka_Druv_Kendra_Himalay/v1;http://literature.awgp.org/var/node/1853/Adhyatm_Ka_Druv_Kendra_Devatma_Himalay.pdf;http://literature.awgp.org/book/Adhyatm_Chetana_Ka_Druv_Kendra_Himalay/v1.64
BOOK_SERIALNUM_51;Text Book Version;अध्यात्म दृष्टिकोण और अनन्‍त आत्‍मबल;Spiritual outlook and eternal self-confidence;http://literature.awgp.org/book/aadhyatmik_drishtikon_aur_anant_aatmabal/v2.1;adhyaatam darishhatikona aur anana‍t aata‍mabal;http://literature.awgp.org/book/aadhyatmik_drishtikon_aur_anant_aatmabal/v2;;http://literature.awgp.org/book/aadhyatmik_drishtikon_aur_anant_aatmabal/v2.4
BOOK_SERIALNUM_52;Scan Book Version;अध्यात्म धर्म का अवलम्बन;devotion to religion;http://literature.awgp.org/book/Adhyatm_Dharm_Ka_Avlamban/v1.1;adhyaatam dharm ka avalamaban;http://literature.awgp.org/book/Adhyatm_Dharm_Ka_Avlamban/v1;http://literature.awgp.org/var/node/1866/Adhyaatm_Dharm_Ka_Avalamban.pdf;http://literature.awgp.org/book/Adhyatm_Dharm_Ka_Avlamban/v1.48
BOOK_SERIALNUM_53;Scan Book Version;अध्यात्म विद्या का प्रवेश द्वार;gateway to spirituality;http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v1.1;adhyaatam vidaya ka paravesh davaar;http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v1;http://literature.awgp.org/var/node/1952/Adhyaatm_Vidhya_Ka_Pravesh_Dvar.pdf;http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v1.46
BOOK_SERIALNUM_54;Text Book Version;अध्यात्म विद्या का प्रवेश द्वार;gateway to spirituality;http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v3.1;adhyaatam vidaya ka paravesh davaar;http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v3;;http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v3.8
BOOK_SERIALNUM_55;Scan Book Version;अध्यात्मवाद ही क्यों;Why spiritualism only;http://literature.awgp.org/book/Adhyatmvad_Hi_Kyon/v1.1;adhyaatamavaad hi kyon;http://literature.awgp.org/book/Adhyatmvad_Hi_Kyon/v1;http://literature.awgp.org/var/node/1632/Adhyatmavad_Hi_Kyon_.pdf;http://literature.awgp.org/book/Adhyatmvad_Hi_Kyon/v1.46
BOOK_SERIALNUM_56;Scan Book Version;अध्यात्मवादी भौतिकता अपनाई जाय;spiritualistic materialism should be adopted;http://literature.awgp.org/book/adhyatamvadi_bhautikta_apnaai_jaye/v2.1;adhyaatamavaadi bhautikata apanai jaay;http://literature.awgp.org/book/adhyatamvadi_bhautikta_apnaai_jaye/v2;http://literature.awgp.org/var/node/72849/Adhyatmavadi_Bhautikata_Apanai_Jaye.pdf;http://literature.awgp.org/book/adhyatamvadi_bhautikta_apnaai_jaye/v2.160
BOOK_SERIALNUM_57;Scan Book Version;अनाचार से कैसे निपटे ?;How to deal with incest?;http://literature.awgp.org/book/anachar_se_kaise_nipate/v1.1;anaachaar se kaise nipate ?;http://literature.awgp.org/book/anachar_se_kaise_nipate/v1;http://literature.awgp.org/var/node/2332/Anachar_Se_Kaise_Nipate.pdf;http://literature.awgp.org/book/anachar_se_kaise_nipate/v1.48
BOOK_SERIALNUM_58;Scan Book Version;अनादि गुरुमंत्र गायत्री;Anadi Gurumantra Gayatri;http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v1.1;anaadi gurumantar gayatri;http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v1;http://literature.awgp.org/var/node/2370/Anadi_Gurumantra-Gayatri.pdf;http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v1.33
BOOK_SERIALNUM_59;Text Book Version;अनादि गुरुमंत्र—गायत्री;Eternal Guru Mantra - Gayatri;http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v2.1;anaadi gurumantara—gayatri;http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v2;;http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v2.4
BOOK_SERIALNUM_60;Scan Book Version;अन्त: उर्जा जागरण सत्र;Inner Energy Awakening Session;http://literature.awgp.org/book/Antah_Urja_Jagaran_Satra/v1.1;anata: uraja jaagaran satar;http://literature.awgp.org/book/Antah_Urja_Jagaran_Satra/v1;http://literature.awgp.org/var/node/1643/Antah_Urja_Satra_Sadhana_Nirdeshika.pdf;http://literature.awgp.org/book/Antah_Urja_Jagaran_Satra/v1.65
BOOK_SERIALNUM_61;Text Book Version;अन्तरिक्ष विज्ञान एवं परोक्ष का अनुसन्धान;space science and indirect research;http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v2.1;anatarikashh vigyaan evan parokashh ka anusanadhan;http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v2;;http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v2.9
BOOK_SERIALNUM_62;Text Book Version;अन्तर्जगत् की यात्रा का ज्ञान-विज्ञान -1;Knowledge-Science of the journey of the inner world-1;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v2.1;anatarajagat ki yatra ka gyaan - vigyaan  - 1;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v2;http://literature.awgp.org/var/node/65607/Antarjagat_Ki_Yatra_Ka_Gyan-Vigyan_Bhag-1.pdf;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v2.19
BOOK_SERIALNUM_63;Scan Book Version;अन्तर्जगत् की यात्रा का ज्ञान-विज्ञान -2;Knowledge-Science of the journey of the inner world-2;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v5.1;anatarajagat ki yatra ka gyaan - vigyaan  - 2;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v5;http://literature.awgp.org/var/node/76148/Antarjagat_Ki_Yatra_Ka_Gyan_Vigyan_Bhag_2.pdf;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v5.208
BOOK_SERIALNUM_64;Scan Book Version;अन्तर्जगत् की यात्रा का ज्ञान-विज्ञान -3;Knowledge-Science of the journey of the inner world-3;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v3.1;anatarajagat ki yatra ka gyaan - vigyaan  - 3;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v3;http://literature.awgp.org/var/node/73256/Anjarjagat_Ki_Yatra_Ka_Gyan_Vigyan_Bhag_3.pdf;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v3.232
BOOK_SERIALNUM_65;Scan Book Version;अन्तर्जगत् की यात्रा का ज्ञान-विज्ञान -4;Knowledge-Science of the journey of the inner world-4;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v4.1;anatarajagat ki yatra ka gyaan - vigyaan  - 4;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v4;http://literature.awgp.org/var/node/73257/Anjarjagat_Ki_Yatra_Ka_Gyan_Vigyan_Bhag_4.pdf;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v4.145
BOOK_SERIALNUM_66;Text Book Version;अन्तर्जगत् की यात्रा का ज्ञान-विज्ञान-1;Knowledge-Science of the journey of the inner world-1;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v1.1;anatarajagat ki yatra ka gyaan - vigyaan - 1;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v1;http://literature.awgp.org/var/node/65606/H-SA_27_Antarjagat_Ki_Yatra_Ka_Gyan-Vigyan_Bhag-1.pdf;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v1.32
