BOOK_SERIAL_NUMBER;BOOK_NAME;BOOK_URL;BOOK_TYPE
BOOK_SERIALNUM_11;test;<a target="_blank" href="http://literature.awgp.org/book/v1.1">http://literature.awgp.org/book/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_12;v2;<a target="_blank" href="http://literature.awgp.org/book/sachitra_gayatri_shiksha_/.1">http://literature.awgp.org/book/sachitra_gayatri_shiksha_/.1</a> // <a target="_blank" href="http://literature.awgp.org/book/sachitra_gayatri_shiksha_/">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_13;yagyapavit dwara dharm arth kaam moksh ki prapt;<a target="_blank" href="http://literature.awgp.org/book/yagyapavit_dwara_dharm_arth_kaam_moksh_ki_prapt/v1.1">http://literature.awgp.org/book/yagyapavit_dwara_dharm_arth_kaam_moksh_ki_prapt/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/yagyapavit_dwara_dharm_arth_kaam_moksh_ki_prapt/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_14;अंत:शक्ति के उभार एवं चमत्कार;<a target="_blank" href="http://literature.awgp.org/book/antahashakti_ke_ubhar/v1.1">http://literature.awgp.org/book/antahashakti_ke_ubhar/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/antahashakti_ke_ubhar/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_15;अंतरंग जीवन का देवासुर संग्राम;<a target="_blank" href="http://literature.awgp.org/book/Antarang_Jeevan_Ka_Devasur_Sangram/v1.1">http://literature.awgp.org/book/Antarang_Jeevan_Ka_Devasur_Sangram/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/Antarang_Jeevan_Ka_Devasur_Sangram/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_16;अंतरिक्ष विज्ञान एवं परोक्ष का अनुसंधान;<a target="_blank" href="http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v1.1">http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_17;अंधविश्वास को उखाड़ फेंकिये;<a target="_blank" href="http://literature.awgp.org/book/andhvishwas_ko_ukhad_fenkiye/v1.1">http://literature.awgp.org/book/andhvishwas_ko_ukhad_fenkiye/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/andhvishwas_ko_ukhad_fenkiye/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_18;अक्षुण्ण स्वास्थ्य प्राप्ति हेतु एक शाश्वत राजमार्ग;<a target="_blank" href="http://literature.awgp.org/book/akshun_swasthya_prapti_hetu_ek_shashwat_rajmarg/v1.1">http://literature.awgp.org/book/akshun_swasthya_prapti_hetu_ek_shashwat_rajmarg/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/akshun_swasthya_prapti_hetu_ek_shashwat_rajmarg/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_19;अज्ञान के बन्धन काटें—उन्मुक्त जीवन जियें;<a target="_blank" href="http://literature.awgp.org/book/agyan_ke_bandhan_kaate_anmukt_jivan_jiye/v1.1">http://literature.awgp.org/book/agyan_ke_bandhan_kaate_anmukt_jivan_jiye/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/agyan_ke_bandhan_kaate_anmukt_jivan_jiye/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_20;अज्ञान ही धर्मक्षेत्र की विकृतियों का कारण;<a target="_blank" href="http://literature.awgp.org/book/agyan_hi_dharmakshetra_ki_vikritoyo_ka_karan/v1.1">http://literature.awgp.org/book/agyan_hi_dharmakshetra_ki_vikritoyo_ka_karan/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/agyan_hi_dharmakshetra_ki_vikritoyo_ka_karan/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_21;अणु में विभु गागर में सागर;<a target="_blank" href="http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v1.1">http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_22;अणु में विभु-गागर में सागर;<a target="_blank" href="http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v2.1">http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/Anu_Me_Vibhu_gagar_me_sagar/v2">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_23;अति भावुकता से सावधान;<a target="_blank" href="http://literature.awgp.org/book/ati_bhawukta_se_sawdhan/v1.1">http://literature.awgp.org/book/ati_bhawukta_se_sawdhan/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/ati_bhawukta_se_sawdhan/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_24;अतींद्रिय सामर्थ्य संयोग नहीं तथ्य;<a target="_blank" href="http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v1.1">http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_25;अतीन्द्रिय क्षमताओं की पृष्ठभूमि;<a target="_blank" href="http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v2.1">http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v2">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_26;अतीन्द्रिय क्षमताओं की पृष्ठभूमि;<a target="_blank" href="http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v1.1">http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/Atindriy_Kshamataon_Ki_Prishthabhumi/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_27;अतीन्द्रिय सामर्थ्य संयोग नहीं तथ्य;<a target="_blank" href="http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v2.1">http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/ateendriy_samarthy_sanyog_naheen_tathy/v2">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_28;अथर्वेद भाग-1A;<a target="_blank" href="http://literature.awgp.org/book/atharveda/v1.1">http://literature.awgp.org/book/atharveda/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/atharveda/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_29;अथर्वेद भाग-1B;<a target="_blank" href="http://literature.awgp.org/book/atharveda/v2.1">http://literature.awgp.org/book/atharveda/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/atharveda/v2">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_30;अथर्वेद भाग-1C;<a target="_blank" href="http://literature.awgp.org/book/atharveda/v3.1">http://literature.awgp.org/book/atharveda/v3.1</a> // <a target="_blank" href="http://literature.awgp.org/book/atharveda/v3">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_31;अथर्वेद भाग-2A;<a target="_blank" href="http://literature.awgp.org/book/atharveda/v4.1">http://literature.awgp.org/book/atharveda/v4.1</a> // <a target="_blank" href="http://literature.awgp.org/book/atharveda/v4">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_32;अथर्वेद भाग-2B;<a target="_blank" href="http://literature.awgp.org/book/atharveda/v5.1">http://literature.awgp.org/book/atharveda/v5.1</a> // <a target="_blank" href="http://literature.awgp.org/book/atharveda/v5">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_33;अथर्वेद भाग-2C;<a target="_blank" href="http://literature.awgp.org/book/atharveda/v6.1">http://literature.awgp.org/book/atharveda/v6.1</a> // <a target="_blank" href="http://literature.awgp.org/book/atharveda/v6">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_34;अदभुत आश्चर्यजनक किन्तु सत्य -1;<a target="_blank" href="http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v1.1">http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_35;अदभुत आश्चर्यजनक किन्तु सत्य -2;<a target="_blank" href="http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v2.1">http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v2">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_36;अदभुत आश्चर्यजनक किन्तु सत्य -3;<a target="_blank" href="http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v3.1">http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v3.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adabhut_aashcharyajanak_kintu_satya/v3">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_37;अदृश्य जगत का पर्यवेक्षण सपनों की खिड़की से;<a target="_blank" href="http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v2.1">http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v2">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_38;अदृश्य जगत का पर्यवेक्षण सपनों की खिड़की से !;<a target="_blank" href="http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v1.1">http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adrishy_jagat_ka_paryavekshan_sapanon_kee_khidakee_se/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_39;अध्यात्म एक नगद धर्म;<a target="_blank" href="http://literature.awgp.org/book/adhyatm_ek_nagad_dharm/v1.1">http://literature.awgp.org/book/adhyatm_ek_nagad_dharm/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adhyatm_ek_nagad_dharm/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_40;अध्यात्म एक नगद धर्म;<a target="_blank" href="http://literature.awgp.org/book/adhyatm_ek_nagad_dharm/v2.1">http://literature.awgp.org/book/adhyatm_ek_nagad_dharm/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adhyatm_ek_nagad_dharm/v2">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_41;अध्यात्म एक प्रकार का समर;<a target="_blank" href="http://literature.awgp.org/book/adhyatm_ek_prakar_ka_samar/v2.1">http://literature.awgp.org/book/adhyatm_ek_prakar_ka_samar/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adhyatm_ek_prakar_ka_samar/v2">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_42;अध्यात्म एक प्रकार का समर;<a target="_blank" href="http://literature.awgp.org/book/adhyatm_ek_prakar_ka_samar/v1.1">http://literature.awgp.org/book/adhyatm_ek_prakar_ka_samar/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adhyatm_ek_prakar_ka_samar/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_43;अध्यात्म का मर्म समझें;<a target="_blank" href="http://literature.awgp.org/book/adhyatm_ka_marm_samajhen/v1.1">http://literature.awgp.org/book/adhyatm_ka_marm_samajhen/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adhyatm_ka_marm_samajhen/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_44;अध्यात्म का मर्म समझें;<a target="_blank" href="http://literature.awgp.org/book/adhyatm_ka_marm_samajhen/v2.1">http://literature.awgp.org/book/adhyatm_ka_marm_samajhen/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adhyatm_ka_marm_samajhen/v2">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_45;अध्यात्म के सही स्वरूप का पुनर्जागरण;<a target="_blank" href="http://literature.awgp.org/book/adhyatm_ke_sahee_svaroop_ka_punarjagaran/v1.1">http://literature.awgp.org/book/adhyatm_ke_sahee_svaroop_ka_punarjagaran/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adhyatm_ke_sahee_svaroop_ka_punarjagaran/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_46;अध्यात्म को जीवंत बनाएँ;<a target="_blank" href="http://literature.awgp.org/book/adhyatm_ko_jeevant_banaen/v2.1">http://literature.awgp.org/book/adhyatm_ko_jeevant_banaen/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adhyatm_ko_jeevant_banaen/v2">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_47;अध्यात्म को जीवंत बनाएँ;<a target="_blank" href="http://literature.awgp.org/book/adhyatm_ko_jeevant_banaen/v1.1">http://literature.awgp.org/book/adhyatm_ko_jeevant_banaen/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adhyatm_ko_jeevant_banaen/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_48;अध्यात्म क्या था ? क्या हो गया ? क्या होना चाहिए ?;<a target="_blank" href="http://literature.awgp.org/book/what_is_spirituality/v2.1">http://literature.awgp.org/book/what_is_spirituality/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/what_is_spirituality/v2">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_49;अध्यात्म क्या था? क्या हो गया? क्या होना चाहिए?;<a target="_blank" href="http://literature.awgp.org/book/what_is_spirituality/v4.1">http://literature.awgp.org/book/what_is_spirituality/v4.1</a> // <a target="_blank" href="http://literature.awgp.org/book/what_is_spirituality/v4">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_50;अध्यात्म चेतना का ध्रुव केन्द्र हिमालय;<a target="_blank" href="http://literature.awgp.org/book/Adhyatm_Chetana_Ka_Druv_Kendra_Himalay/v1.1">http://literature.awgp.org/book/Adhyatm_Chetana_Ka_Druv_Kendra_Himalay/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/Adhyatm_Chetana_Ka_Druv_Kendra_Himalay/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_51;अध्यात्म दृष्टिकोण और अनन्‍त आत्‍मबल;<a target="_blank" href="http://literature.awgp.org/book/aadhyatmik_drishtikon_aur_anant_aatmabal/v2.1">http://literature.awgp.org/book/aadhyatmik_drishtikon_aur_anant_aatmabal/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/aadhyatmik_drishtikon_aur_anant_aatmabal/v2">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_52;अध्यात्म धर्म का अवलम्बन;<a target="_blank" href="http://literature.awgp.org/book/Adhyatm_Dharm_Ka_Avlamban/v1.1">http://literature.awgp.org/book/Adhyatm_Dharm_Ka_Avlamban/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/Adhyatm_Dharm_Ka_Avlamban/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_53;अध्यात्म विद्या का प्रवेश द्वार;<a target="_blank" href="http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v1.1">http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_54;अध्यात्म विद्या का प्रवेश द्वार;<a target="_blank" href="http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v3.1">http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v3.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v3">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_55;अध्यात्मवाद ही क्यों;<a target="_blank" href="http://literature.awgp.org/book/Adhyatmvad_Hi_Kyon/v1.1">http://literature.awgp.org/book/Adhyatmvad_Hi_Kyon/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/Adhyatmvad_Hi_Kyon/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_56;अध्यात्मवादी भौतिकता अपनाई जाय;<a target="_blank" href="http://literature.awgp.org/book/adhyatamvadi_bhautikta_apnaai_jaye/v2.1">http://literature.awgp.org/book/adhyatamvadi_bhautikta_apnaai_jaye/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/adhyatamvadi_bhautikta_apnaai_jaye/v2">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_57;अनाचार से कैसे निपटे ?;<a target="_blank" href="http://literature.awgp.org/book/anachar_se_kaise_nipate/v1.1">http://literature.awgp.org/book/anachar_se_kaise_nipate/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/anachar_se_kaise_nipate/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_58;अनादि गुरुमंत्र गायत्री;<a target="_blank" href="http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v1.1">http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_59;अनादि गुरुमंत्र—गायत्री;<a target="_blank" href="http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v2.1">http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v2">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_60;अन्त: उर्जा जागरण सत्र;<a target="_blank" href="http://literature.awgp.org/book/Antah_Urja_Jagaran_Satra/v1.1">http://literature.awgp.org/book/Antah_Urja_Jagaran_Satra/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/Antah_Urja_Jagaran_Satra/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_61;अन्तरिक्ष विज्ञान एवं परोक्ष का अनुसन्धान;<a target="_blank" href="http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v2.1">http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v2">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_62;अन्तर्जगत् की यात्रा का ज्ञान-विज्ञान -1;<a target="_blank" href="http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v2.1">http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v2.1</a> // <a target="_blank" href="http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v2">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_63;अन्तर्जगत् की यात्रा का ज्ञान-विज्ञान -2;<a target="_blank" href="http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v5.1">http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v5.1</a> // <a target="_blank" href="http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v5">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_64;अन्तर्जगत् की यात्रा का ज्ञान-विज्ञान -3;<a target="_blank" href="http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v3.1">http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v3.1</a> // <a target="_blank" href="http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v3">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_65;अन्तर्जगत् की यात्रा का ज्ञान-विज्ञान -4;<a target="_blank" href="http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v4.1">http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v4.1</a> // <a target="_blank" href="http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v4">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_66;अन्तर्जगत् की यात्रा का ज्ञान-विज्ञान-1;<a target="_blank" href="http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v1.1">http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_67;अन्ध परम्पराएं छोड़ें भी तोड़ें भी;<a target="_blank" href="http://literature.awgp.org/book/andh_prampraye_chode_bhi_tode_bhi/v1.1">http://literature.awgp.org/book/andh_prampraye_chode_bhi_tode_bhi/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/andh_prampraye_chode_bhi_tode_bhi/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_68;अन्धविश्वास से लाभ कुछ नहीं हानि अपार हैं;<a target="_blank" href="http://literature.awgp.org/book/andhavishvas_se_labh_kuchh_naheen_hani_apar_hain/v1.1">http://literature.awgp.org/book/andhavishvas_se_labh_kuchh_naheen_hani_apar_hain/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/andhavishvas_se_labh_kuchh_naheen_hani_apar_hain/v1">(Book_Home)</a>;Scan Book Version
BOOK_SERIALNUM_69;अन्धविश्वासी नहीं विवेकशील बनिए;<a target="_blank" href="http://literature.awgp.org/book/andhvishwasi_nahi_vivekshil_baniye/v1.1">http://literature.awgp.org/book/andhvishwasi_nahi_vivekshil_baniye/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/andhvishwasi_nahi_vivekshil_baniye/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_70;अन्नप्राशन चूड़ाकर्म और विद्यारम्भ संस्कार पद्धति;<a target="_blank" href="http://literature.awgp.org/book/annprashan_chudakarm_aur_vidyarmbh_sanskar_paddhati/v1.1">http://literature.awgp.org/book/annprashan_chudakarm_aur_vidyarmbh_sanskar_paddhati/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/annprashan_chudakarm_aur_vidyarmbh_sanskar_paddhati/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_71;अपना उत्साह शिथिल न होने दें;<a target="_blank" href="http://literature.awgp.org/book/apna_utsaah_shithil_na_hone_de/v1.1">http://literature.awgp.org/book/apna_utsaah_shithil_na_hone_de/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/apna_utsaah_shithil_na_hone_de/v1">(Book_Home)</a>;Text Book Version
BOOK_SERIALNUM_72;अपना उद्धार आप करें;<a target="_blank" href="http://literature.awgp.org/book/apna_uddhar_aap_kare/v1.1">http://literature.awgp.org/book/apna_uddhar_aap_kare/v1.1</a> // <a target="_blank" href="http://literature.awgp.org/book/apna_uddhar_aap_kare/v1">(Book_Home)</a>;Text Book Version
